,repo_names
386,microsoft/moc-sdk-for-go
387,microsoft/qlib-server
388,microsoft/DMF
389,microsoft/sql-server-samples
390,microsoft/botbuilder-java
391,microsoft/vssdktestfx
392,microsoft/appcenter-sdk-android
393,microsoft/SCMScaleUnitDevTools
394,microsoft/fluentui-storybook-addons
395,microsoft/AzureTRE
396,microsoft/SoftTeacher
397,microsoft/TextWorld
398,microsoft/PythonProgrammingPuzzles
399,microsoft/vscode-react-native
400,microsoft/Kusto-Query-Language
401,microsoft/TUTA_table_understanding
402,microsoft/AzureSearch-MRC
403,microsoft/SDR
404,microsoft/torchy
405,microsoft/surface-duo-sdk
406,microsoft/terraform-provider-azuredevops
407,microsoft/wpa
408,microsoft/NubesGen
409,microsoft/OLive
410,microsoft/gnls
411,microsoft/ModSecurity
412,microsoft/roman
413,microsoft/GLUECoS
414,microsoft/FHIR-Analytics-Pipelines
415,microsoft/VoxHRNet
416,microsoft/Guan
417,microsoft/botframework-emulator-nightlies
418,microsoft/DNS-Challenge
419,microsoft/RockPaperScissorsLizardSpock
420,microsoft/service-fabric-traefik
421,microsoft/cppwinrt
422,microsoft/winget-cli
423,microsoft/WSL
424,microsoft/AzureADToolkit
425,microsoft/vscode-java-test
426,microsoft/Microsoft-OpenXR-Unreal
427,microsoft/azure-pipelines-vscode
428,microsoft/mu_plus
429,microsoft/sqlmlutils
430,microsoft/react-jacdac
431,microsoft/sqltoolsservice
432,microsoft/fluentui-system-icons
433,microsoft/jacdac-ts
434,microsoft/jacdac
435,microsoft/azure-pipelines-language-server
436,microsoft/powerplatform-vscode
437,microsoft/fast-tooling
438,microsoft/OpenXR-Unity-MixedReality-Samples
439,microsoft/Zen
440,microsoft/StigRepo
441,microsoft/service-fabric-explorer
442,microsoft/botbuilder-js
443,microsoft/OMS-docker
444,microsoft/PyMarlin
445,microsoft/Dynamics-365-FastTrack-Implementation-Assets
446,microsoft/Intune-Resource-Access
447,microsoft/libHttpClient
448,microsoft/mimalloc
449,microsoft/DirectX-Headers
450,microsoft/libdxg
451,microsoft/service-fabric-observer
452,microsoft/MCW-SAP-plus-extend-and-innovate
453,microsoft/surface-duo-compose-samples
454,microsoft/EasyRepro
455,microsoft/mssql-django
456,microsoft/TeamCloud-Providers
457,microsoft/configmgr-hub-firstparty
458,microsoft/MCW-Template-Cloud-Workshop
459,microsoft/fastseq
460,microsoft/vscode-azurestaticwebapps
461,microsoft/perfview
462,microsoft/docker
463,microsoft/gadgetron-azure
464,microsoft/CEDAR.GitHub.Collector
465,microsoft/azure-software-radio
466,microsoft/snmalloc
467,microsoft/hermes-windows
468,microsoft/pgtoolsservice
469,microsoft/VerifiableCredential-SDK-iOS
470,microsoft/hibernation-setup-tool
471,microsoft/durabletask-mssql
472,microsoft/xbox-live-unity-plugin
473,microsoft/vscode-extension-telemetry
474,microsoft/vscode-mock-debug
475,microsoft/maker-stl-gen
476,microsoft/tabster
477,microsoft/axe-sarif-converter
478,microsoft/ClearScriptWorkerSample
479,microsoft/MixedReality-WorldLockingTools-Unity
480,microsoft/emerging-opportunities
481,microsoft/Chestist
482,microsoft/glTF-SDK
483,microsoft/starter-workflows
484,microsoft/vscode-textmate
